	Total	Ubi	Int	Ubi_Ent	Int_Ent	Overlap_Ent	delta
9007	39	37	26	0.29181825659888594	0.9182958340544896	0.8329383090151916	0.08535752503929794
9008	39	37	27	0.29181825659888594	0.8904916402194913	0.7986802825893299	0.09181135763016146
9009	39	37	28	0.29181825659888594	0.8582307926411411	0.7593464537866004	0.09888433885454073
9010	39	37	29	0.29181825659888594	0.8212809417449864	0.7145724530659372	0.10670848867904925
9011	39	37	30	0.29181825659888594	0.7793498372920851	0.6638864668105732	0.1154633704815119
9012	39	37	31	0.29181825659888594	0.7320666900931938	0.6066644590243865	0.12540223106880732
9013	39	37	32	0.29181825659888594	0.6789538995185759	0.5420547193290852	0.13689918018949065
9014	39	37	33	0.29181825659888594	0.6193821946787638	0.46884022024210714	0.15054197443665662
9015	39	37	34	0.29181825659888594	0.5524951143251111	0.38515770316913145	0.16733741115597967
9016	39	37	35	0.29181825659888594	0.47707130621932964	0.2878171521845465	0.18925415403478313
9017	39	37	36	0.29181825659888594	0.3912435636292555	0.17006344811148427	0.22118011551777123
9018	39	38	1	0.17203694935311387	0.17203694935311378	0.17106335852782323	0.0009735908252905545
9019	39	38	2	0.17203694935311387	0.29181825659888583	0.28984475535725646	0.001973501241629372
9020	39	38	3	0.17203694935311387	0.39124356362925566	0.38824236963125525	0.0030011939980004176
9021	39	38	4	0.17203694935311387	0.47707130621932975	0.4730130489319156	0.004058257287414158
9022	39	38	5	0.17203694935311387	0.5524951143251111	0.547348694810012	0.005146419515099088
9023	39	38	6	0.17203694935311387	0.6193821946787638	0.6131146283725465	0.006267566306217276
9024	39	38	7	0.17203694935311387	0.6789538995185759	0.6715301393451254	0.007423760173450478
9025	39	38	8	0.17203694935311387	0.7320666900931937	0.7234494267333512	0.008617263359842475
9026	39	38	9	0.17203694935311387	0.7793498372920852	0.7694992727993807	0.009850564492704494
9027	39	38	10	0.17203694935311387	0.8212809417449864	0.8101545319069157	0.011126409838070783
9028	39	38	11	0.17203694935311387	0.8582307926411411	0.8457829524982649	0.012447840142876254
9029	39	38	12	0.17203694935311387	0.8904916402194913	0.8766734059111276	0.013818234308363708
9030	39	38	13	0.17203694935311387	0.9182958340544896	0.9030544725808701	0.01524136147361943
9031	39	38	14	0.17203694935311387	0.9418285354475158	0.9251070919164626	0.016721443531053204
9032	39	38	15	0.17203694935311387	0.961236604722876	0.942973374036338	0.018263230686538012
9033	39	38	16	0.17203694935311387	0.97663491144401	0.9567628179701464	0.01987209347386365
9034	39	38	17	0.17203694935311387	0.9881108365218301	0.9665567008011926	0.02155413572063747
9035	39	38	18	0.17203694935311387	0.9957274520849256	0.9724111176191635	0.02331633446576209
9036	39	38	19	0.17203694935311387	0.9995256892936493	0.9743589743589743	0.025166714934674927
9037	39	38	20	0.17203694935311387	0.9995256892936493	0.9724111176191637	0.02711457167448561
9038	39	38	21	0.17203694935311387	0.9957274520849256	0.9665567008011926	0.029170751283733032
9039	39	38	22	0.17203694935311387	0.9881108365218301	0.9567628179701464	0.031348018551683676
9040	39	38	23	0.17203694935311387	0.97663491144401	0.942973374036338	0.03366153740767208
9041	39	38	24	0.17203694935311387	0.961236604722876	0.9251070919164626	0.03612951280641341
9042	39	38	25	0.17203694935311387	0.9418285354475155	0.9030544725808701	0.03877406286664542
9043	39	38	26	0.17203694935311387	0.9182958340544896	0.8766734059111276	0.04162242814336192
9044	39	38	27	0.17203694935311387	0.8904916402194913	0.8457829524982649	0.04470868772122649
9045	39	38	28	0.17203694935311387	0.8582307926411411	0.8101545319069157	0.04807626073422544
9046	39	38	29	0.17203694935311387	0.8212809417449864	0.7694992727993806	0.051781668945605874
9047	39	38	30	0.17203694935311387	0.7793498372920851	0.7234494267333512	0.05590041055873385
9048	39	38	31	0.17203694935311387	0.7320666900931938	0.6715301393451255	0.060536550748068296
9049	39	38	32	0.17203694935311387	0.6789538995185759	0.6131146283725467	0.06583927114602917
9050	39	38	33	0.17203694935311387	0.6193821946787638	0.547348694810012	0.07203349986875174
9051	39	38	34	0.17203694935311387	0.5524951143251111	0.4730130489319156	0.07948206539319552
9052	39	38	35	0.17203694935311387	0.47707130621932964	0.38824236963125525	0.08882893658807439
9053	39	38	36	0.17203694935311387	0.3912435636292555	0.28984475535725673	0.10139880827199876
9054	39	38	37	0.17203694935311387	0.29181825659888594	0.17106335852782314	0.1207548980710628
9055	40	2	1	0.28639695711595625	0.16866093149667025	0.05	0.11866093149667024
9056	40	3	1	0.38431154412649704	0.16866093149667025	0.06887218755408671	0.09978874394258354
9057	40	3	2	0.38431154412649704	0.28639695711595625	0.06887218755408671	0.21752476956186956
9058	40	4	1	0.4689955935892812	0.16866093149667025	0.08112781244591329	0.08753311905075696
9059	40	4	2	0.4689955935892812	0.28639695711595625	0.1	0.18639695711595625
9060	40	4	3	0.4689955935892812	0.38431154412649704	0.08112781244591329	0.30318373168058377
9061	40	5	1	0.5435644431995964	0.16866093149667025	0.09024101186092029	0.07841991963574996
9062	40	5	2	0.5435644431995964	0.28639695711595625	0.12136882430683357	0.16502813280912268
9063	40	5	3	0.5435644431995964	0.38431154412649704	0.12136882430683357	0.26294271981966344
9064	40	5	4	0.5435644431995964	0.4689955935892812	0.09024101186092029	0.37875458172836096
9065	40	6	1	0.6098403047164004	0.16866093149667025	0.09750336324725312	0.07115756824941713
